"","Regulator","Target","RegulatorType","TargetType","regulatory_Mechanism"
"1495","PITPNA-AS1","c-MET","lncRNA","PCG","ceRNA or sponge"
"1496","SOCS2-AS1","CUEDC2","lncRNA","PCG","ceRNA or sponge"
"1497","ST8SIA6-AS1","HDAC11","lncRNA","PCG","ceRNA or sponge"
"1498","PVT1","SCUBE2","lncRNA","PCG","ceRNA or sponge"
"1499","HCP5","MET","lncRNA","PCG","ceRNA or sponge"
"1500","DUXAP8","YAP1","lncRNA","PCG","ceRNA or sponge"
"1501","LINC01224","AKT3","lncRNA","PCG","ceRNA or sponge"
"1502","MALAT1","GPNMB","lncRNA","PCG","ceRNA or sponge"
"1503","LINC00665","PAK2","lncRNA","PCG","ceRNA or sponge"
"1504","LINC00665","FZD3","lncRNA","PCG","ceRNA or sponge"
"1505","SFTA3","STK4","lncRNA","PCG","ceRNA or sponge"
"1506","DUXAP8","ZNF277","lncRNA","PCG","ceRNA or sponge"
"1507","MIF-AS1","NDUFA4","lncRNA","PCG","ceRNA or sponge"
"1508","CASC2","RBBP8","lncRNA","PCG","ceRNA or sponge"
"1509","KTN1-AS1","ERBIN","lncRNA","PCG","ceRNA or sponge"
"1510","SBF2-AS1","MBNL3","lncRNA","PCG","ceRNA or sponge"
"1511","UCA1","SIRT1","lncRNA","PCG","ceRNA or sponge"
"1512","GMDS-DT","CYLD","lncRNA","PCG","ceRNA or sponge"
"1513","MBNL1-AS1","PHLPP2","lncRNA","PCG","ceRNA or sponge"
"1514","HCP5","CEMIP","lncRNA","PCG","ceRNA or sponge"
"1515","HOXA11-AS","ABCC10","lncRNA","PCG","ceRNA or sponge"
"1516","CRNDE","CDK6","lncRNA","PCG","ceRNA or sponge"
"1517","MSC-AS1","CDK14","lncRNA","PCG","ceRNA or sponge"
"1518","CASC9","CHEK1","lncRNA","PCG","ceRNA or sponge"
"1519","CYTOR","CDK9","lncRNA","PCG","ceRNA or sponge"
"1520","TRPM2-AS","PYCR1","lncRNA","PCG","ceRNA or sponge"
"1521","MYOSLID","MCL1","lncRNA","PCG","ceRNA or sponge"
"1522","MIR7-3HG","PEG10","lncRNA","PCG","ceRNA or sponge"
"1523","IDH1-AS1","ATG5","lncRNA","PCG","ceRNA or sponge"
"1524","MALAT1","AKT3","lncRNA","PCG","ceRNA or sponge"
"1525","TCL6","PTEN","lncRNA","PCG","ceRNA or sponge"
"1526","DLX6-AS1","CDK4","lncRNA","PCG","ceRNA or sponge"
"1527","XIST","IL6","lncRNA","PCG","ceRNA or sponge"
"1528","MSC-AS1","JAK2","lncRNA","PCG","ceRNA or sponge"
"1529","NEAT1","PRKG1","lncRNA","PCG","ceRNA or sponge"
"1530","SNHG7","SYVN1","lncRNA","PCG","ceRNA or sponge"
"1531","HAGLROS","ATG12","lncRNA","PCG","ceRNA or sponge"
"1532","SNHG6","LAMC1","lncRNA","PCG","ceRNA or sponge"
"1533","ZEB2-AS1","BCL2","lncRNA","PCG","ceRNA or sponge"
"1534","NEAT1","CDK6","lncRNA","PCG","ceRNA or sponge"
"1535","SNHG16","PIM1","lncRNA","PCG","ceRNA or sponge"
"1536","LINC00460","PAK1","lncRNA","PCG","ceRNA or sponge"
"1537","MEG3","APAF1","lncRNA","PCG","ceRNA or sponge"
"1538","UCA1","CDK6","lncRNA","PCG","ceRNA or sponge"
"1539","HCP5","BIRC3","lncRNA","PCG","ceRNA or sponge"
"1540","UCA1","IL6R","lncRNA","PCG","ceRNA or sponge"
"1541","NKILA","NLRX1","lncRNA","PCG","ceRNA or sponge"
"1542","LINC00324","AKT1","lncRNA","PCG","ceRNA or sponge"
"1543","LINC00299","AURKA","lncRNA","PCG","ceRNA or sponge"
"1544","LINC00641","PLSCR4","lncRNA","PCG","ceRNA or sponge"
"1545","LINC00342","MDM2","lncRNA","PCG","ceRNA or sponge"
"1546","TOB1-AS1","NEU1","lncRNA","PCG","ceRNA or sponge"
"1547","CDKN2B-AS1","ABCC1","lncRNA","PCG","ceRNA or sponge"
"1548","ADAMTS9-AS2","PTEN","lncRNA","PCG","ceRNA or sponge"
"1549","SNHG5","PTEN","lncRNA","PCG","ceRNA or sponge"
"1550","MEG3","Nrf2","lncRNA","PCG","ceRNA or sponge"
"1551","DANCR","JAK2","lncRNA","PCG","ceRNA or sponge"
"1552","RUSC1-AS1","NOTCH3","lncRNA","PCG","ceRNA or sponge"
"1553","LINC01518","PIK3CA","lncRNA","PCG","ceRNA or sponge"
"1554","SNHG6","STYX","lncRNA","PCG","ceRNA or sponge"
"1555","SNHG4","MET","lncRNA","PCG","ceRNA or sponge"
"1556","BCAR4","WNT7A","lncRNA","PCG","ceRNA or sponge"
"1557","PVT1","MMP2","lncRNA","PCG","ceRNA or sponge"
"1558","NORAD","NAMPT","lncRNA","PCG","ceRNA or sponge"
"1559","CDKN2B-AS1","DUSP4","lncRNA","PCG","ceRNA or sponge"
"1560","NEAT1","GPD1L","lncRNA","PCG","ceRNA or sponge"
"1561","KCNQ1OT1","SORBS2","lncRNA","PCG","ceRNA or sponge"
"1562","MALAT1","TGFA","lncRNA","PCG","ceRNA or sponge"
"1563","TPT1-AS1","STMN1","lncRNA","PCG","ceRNA or sponge"
"1564","SLCO4A1-AS1","PARD3","lncRNA","PCG","ceRNA or sponge"
"1565","NCK1-DT","CDK1","lncRNA","PCG","ceRNA or sponge"
"1566","SNHG14","VAMP2","lncRNA","PCG","ceRNA or sponge"
"1567","SNHG14","DHX33","lncRNA","PCG","ceRNA or sponge"
"1568","GAS8-AS1","CCNG2","lncRNA","PCG","ceRNA or sponge"
"1569","FOXD2-AS1","CDK1","lncRNA","PCG","ceRNA or sponge"
"1570","HCG11","CPEB3","lncRNA","PCG","ceRNA or sponge"
"1571","SOX2-OT","CFL2","lncRNA","PCG","ceRNA or sponge"
"1572","TTN-AS1","Cyclin D1","lncRNA","PCG","ceRNA or sponge"
"1573","LINC02620","FGF7","lncRNA","PCG","ceRNA or sponge"
"1574","LINC00662","WNT0A","lncRNA","PCG","ceRNA or sponge"
"1575","LINC00662","WNT1A","lncRNA","PCG","ceRNA or sponge"
"1576","LINC00662","WNT2A","lncRNA","PCG","ceRNA or sponge"
"1577","HOTAIR","CCND2","lncRNA","PCG","ceRNA or sponge"
"1578","MIAT","INCENP","lncRNA","PCG","ceRNA or sponge"
"1579","UCA1","KRAS","lncRNA","PCG","ceRNA or sponge"
"1580","XIST","MET","lncRNA","PCG","ceRNA or sponge"
"1581","KTN1-AS1","PDPK1","lncRNA","PCG","ceRNA or sponge"
"1582","MATN1-AS1","CHD1","lncRNA","PCG","ceRNA or sponge"
"1583","NEAT1","PIK3R1","lncRNA","PCG","ceRNA or sponge"
"1584","SNHG14","ANXA2","lncRNA","PCG","ceRNA or sponge"
"1585","SBF2-AS1","CDK14","lncRNA","PCG","ceRNA or sponge"
"1586","LINC00857","SPAG5","lncRNA","PCG","ceRNA or sponge"
"1587","UCA1","CXCR4","lncRNA","PCG","ceRNA or sponge"
"1588","CYTOR","BMI1","lncRNA","PCG","ceRNA or sponge"
"1589","MIR31HG","RNF144B","lncRNA","PCG","ceRNA or sponge"
"1590","PVT1","HILPDA","lncRNA","PCG","ceRNA or sponge"
"1591","FTX","MTDH","lncRNA","PCG","ceRNA or sponge"
"1592","SNHG8","PDGFRA","lncRNA","PCG","ceRNA or sponge"
"1593","CASC15","KLK12","lncRNA","PCG","ceRNA or sponge"
"1594","UCA1","KIF20A","lncRNA","PCG","ceRNA or sponge"
"1595","HOXA11-AS","ERBB2","lncRNA","PCG","ceRNA or sponge"
"1596","AFAP1-AS1","NUDT1","lncRNA","PCG","ceRNA or sponge"
"1597","LINC00511","EZH2","lncRNA","PCG","ceRNA or sponge"
"1598","LINC00511","DRAM1","lncRNA","PCG","ceRNA or sponge"
"1599","KCNQ1OT1","YY1AP1","lncRNA","PCG","ceRNA or sponge"
"1600","LINC00858","RABL3","lncRNA","PCG","ceRNA or sponge"
"1601","OIP5-AS1","MTDH","lncRNA","PCG","ceRNA or sponge"
"1602","LINC01116","MDM2","lncRNA","PCG","ceRNA or sponge"
"1603","OIP5-AS1","ITGA6","lncRNA","PCG","ceRNA or sponge"
"1604","LINC00210","NOTCH3","lncRNA","PCG","ceRNA or sponge"
"1605","LINC-ROR","NF2","lncRNA","PCG","ceRNA or sponge"
"1606","SNHG1","TLR4","lncRNA","PCG","ceRNA or sponge"
"1607","SNHG16","RRM2","lncRNA","PCG","ceRNA or sponge"
"1608","MIR17HG","BLNK","lncRNA","PCG","ceRNA or sponge"
"1609","HAS2-AS1","PRPS1","lncRNA","PCG","ceRNA or sponge"
"1610","OXCT1-AS1","JAK1","lncRNA","PCG","ceRNA or sponge"
"1611","SNHG3","HDGF","lncRNA","PCG","ceRNA or sponge"
"1612","LINC00511","EYA1","lncRNA","PCG","ceRNA or sponge"
"1613","LUCAT1","YWHAZ","lncRNA","PCG","ceRNA or sponge"
"1614","MEG3","PDGFRA","lncRNA","PCG","ceRNA or sponge"
"1615","FAM99A","YAP1","lncRNA","PCG","ceRNA or sponge"
"1616","HOTAIR","MTOR","lncRNA","PCG","ceRNA or sponge"
"1617","NR2F2-AS1","BMI1","lncRNA","PCG","ceRNA or sponge"
"1618","CA3-AS1","PTEN","lncRNA","PCG","ceRNA or sponge"
"1619","DSCAM-AS1","RRM2","lncRNA","PCG","ceRNA or sponge"
"1620","PVT1","IRS1","lncRNA","PCG","ceRNA or sponge"
"1621","LINC00958","YWHAZ","lncRNA","PCG","ceRNA or sponge"
"1622","RPL34-DT","RGS4","lncRNA","PCG","ceRNA or sponge"
"1623","FGD5-AS1","VEGFA","lncRNA","PCG","ceRNA or sponge"
"1624","FLVCR1-DT","YAP1","lncRNA","PCG","ceRNA or sponge"
"1625","SNHG12","WWP1","lncRNA","PCG","ceRNA or sponge"
"1626","CYTOR","YAP1","lncRNA","PCG","ceRNA or sponge"
"1627","ZNF407-AS1","MUC1-C","lncRNA","PCG","ceRNA or sponge"
"1628","SNHG1","DNMT1","lncRNA","PCG","ceRNA or sponge"
"1629","ZFAS1","RALY","lncRNA","PCG","ceRNA or sponge"
"1630","DICER1-AS1","ATG5","lncRNA","PCG","ceRNA or sponge"
"1631","FGD5-AS1","HNRNPK","lncRNA","PCG","ceRNA or sponge"
"1632","LINC02418","SEC61G","lncRNA","PCG","ceRNA or sponge"
"1633","HAGLR","SLC27A4","lncRNA","PCG","ceRNA or sponge"
"1634","LINC00958","NET1","lncRNA","PCG","ceRNA or sponge"
"1635","SNHG6","MAPK6","lncRNA","PCG","ceRNA or sponge"
"1636","NEAT1","MET","lncRNA","PCG","ceRNA or sponge"
"1637","OIP5-AS1","DNMT1","lncRNA","PCG","ceRNA or sponge"
"1638","FOXD3-AS1","MAP3K2","lncRNA","PCG","ceRNA or sponge"
"1639","MALAT1","c-Met","lncRNA","PCG","ceRNA or sponge"
"1640","SNHG5","N-cadherin","lncRNA","PCG","ceRNA or sponge"
"1641","HAGLR","CCND1","lncRNA","PCG","ceRNA or sponge"
"1642","SNHG16","VEGFA","lncRNA","PCG","ceRNA or sponge"
"1643","LINC00511","PKM","lncRNA","PCG","ceRNA or sponge"
"1644","XIST","JAK2","lncRNA","PCG","ceRNA or sponge"
"1645","EWSAT1","CPEB4","lncRNA","PCG","ceRNA or sponge"
"1646","DLEU1","PRPS1","lncRNA","PCG","ceRNA or sponge"
"1647","DLEU2","NOTCH2","lncRNA","PCG","ceRNA or sponge"
"1648","DNM3OS","MAP3K3","lncRNA","PCG","ceRNA or sponge"
"1649","LINC02381","CDCA4","lncRNA","PCG","ceRNA or sponge"
"1650","DLGAP1-AS1","MARK4","lncRNA","PCG","ceRNA or sponge"
"1651","LINC00667","SLC2A3","lncRNA","PCG","ceRNA or sponge"
"1652","LNCBRM","TPT1","lncRNA","PCG","ceRNA or sponge"
"1653","CRNDE","BCAT1","lncRNA","PCG","ceRNA or sponge"
"1654","CASC9","LIN7A","lncRNA","PCG","ceRNA or sponge"
"1655","MNX1-AS1","COMMD8","lncRNA","PCG","ceRNA or sponge"
"1656","MELTF-AS1","MYCBP","lncRNA","PCG","ceRNA or sponge"
"1657","DLX6-AS1","YAP1","lncRNA","PCG","ceRNA or sponge"
"1658","DLEU1","DDX5","lncRNA","PCG","ceRNA or sponge"
"1659","LINC00460","AGR2","lncRNA","PCG","ceRNA or sponge"
"1660","PSMA3-AS1","EZH2","lncRNA","PCG","ceRNA or sponge"
"1661","RBM5-AS1","YAP1","lncRNA","PCG","ceRNA or sponge"
"1662","LINC00052","EGFR","lncRNA","PCG","ceRNA or sponge"
"1663","SNHG15","HDAC2","lncRNA","PCG","ceRNA or sponge"
"1664","LINC00339","ROCK1","lncRNA","PCG","ceRNA or sponge"
"1665","MCM3AP-AS1","SPARC","lncRNA","PCG","ceRNA or sponge"
"1666","TPT1-AS1","CERNA2","lncRNA","PCG","ceRNA or sponge"
"1667","PCAT1","ANXA10","lncRNA","PCG","ceRNA or sponge"
"1668","FOXD2-AS1","AKT1","lncRNA","PCG","ceRNA or sponge"
"1669","OIP5-AS1","NOB1","lncRNA","PCG","ceRNA or sponge"
"1670","SNHG1","PHLDA1","lncRNA","PCG","ceRNA or sponge"
"1671","NCK1-DT","TRIM24","lncRNA","PCG","ceRNA or sponge"
"1672","LINC01116","PTEN","lncRNA","PCG","ceRNA or sponge"
"1673","NEAT1","CEP55","lncRNA","PCG","ceRNA or sponge"
"1674","SNHG6","LMO3","lncRNA","PCG","ceRNA or sponge"
"1675","SNHG7","PAK4","lncRNA","PCG","ceRNA or sponge"
"1676","PVT1","SLC2A1","lncRNA","PCG","ceRNA or sponge"
"1677","LIFR-AS1","COL1A2","lncRNA","PCG","ceRNA or sponge"
"1678","CERS6-AS1","FGFR1","lncRNA","PCG","ceRNA or sponge"
"1679","PCAT6","MKRN3","lncRNA","PCG","ceRNA or sponge"
"1680","OGFRP1","LYPD3","lncRNA","PCG","ceRNA or sponge"
"1681","DLX6-AS1","PRR11","lncRNA","PCG","ceRNA or sponge"
"1682","H19","CDC42","lncRNA","PCG","ceRNA or sponge"
"1683","HOTAIR","DHX33","lncRNA","PCG","ceRNA or sponge"
"1684","CDKN2B-AS1","TGFbetaI","lncRNA","PCG","ceRNA or sponge"
"1685","LINC01551","ADAM10","lncRNA","PCG","ceRNA or sponge"
"1686","HCP5","DNMT3A","lncRNA","PCG","ceRNA or sponge"
"1687","LINC00662","CLDN8","lncRNA","PCG","ceRNA or sponge"
"1688","LINC00662","IL22","lncRNA","PCG","ceRNA or sponge"
"1689","MSC-AS1","CDK6","lncRNA","PCG","ceRNA or sponge"
"1690","LINC00858","YWHAZ","lncRNA","PCG","ceRNA or sponge"
"1691","LINC01234","NUPR1","lncRNA","PCG","ceRNA or sponge"
"1692","HOXB-AS3","LDHA","lncRNA","PCG","ceRNA or sponge"
"1693","CRNDE","CCNB1","lncRNA","PCG","ceRNA or sponge"
"1694","HLA-F-AS1","PFN1","lncRNA","PCG","ceRNA or sponge"
"1695","ZFAS1","PLP2","lncRNA","PCG","ceRNA or sponge"
"1696","FAM83A-AS1","MMP14","lncRNA","PCG","ceRNA or sponge"
"1697","TUSC8","EHD2","lncRNA","PCG","ceRNA or sponge"
"1698","LINC00662","EZH2","lncRNA","PCG","ceRNA or sponge"
"1699","LINC01133","ANXA2","lncRNA","PCG","ceRNA or sponge"
"1700","BANCR","IGF1R","lncRNA","PCG","ceRNA or sponge"
"1701","HCP5","PRC1","lncRNA","PCG","ceRNA or sponge"
"1702","LINC00689","PKM","lncRNA","PCG","ceRNA or sponge"
"1703","XIST","CDK6","lncRNA","PCG","ceRNA or sponge"
"1704","PVT1","ITGB8","lncRNA","PCG","ceRNA or sponge"
"1705","LINC00184","ANXA2","lncRNA","PCG","ceRNA or sponge"
"1706","DLEU2","PIK3CD","lncRNA","PCG","ceRNA or sponge"
"1707","FAM225A","ITGB3","lncRNA","PCG","ceRNA or sponge"
"1708","DSCAM-AS1","ATXN7L3","lncRNA","PCG","ceRNA or sponge"
"1709","PXN-AS1","PIP4K2B","lncRNA","PCG","ceRNA or sponge"
"1710","MAGI2-AS3","PTEN","lncRNA","PCG","ceRNA or sponge"
"1711","LINC00355","ABCB1","lncRNA","PCG","ceRNA or sponge"
"1712","NEAT1","ACSL4","lncRNA","PCG","ceRNA or sponge"
"1713","MALAT1","CAPNS1","lncRNA","PCG","ceRNA or sponge"
"1714","DANCR","MMP16","lncRNA","PCG","ceRNA or sponge"
"1715","LINC00612","PHF14","lncRNA","PCG","ceRNA or sponge"
"1716","LINC00858","MMP2","lncRNA","PCG","ceRNA or sponge"
"1717","H19","LDHA","lncRNA","PCG","ceRNA or sponge"
"1718","SNHG20","ADAM10","lncRNA","PCG","ceRNA or sponge"
"1719","XIST","RSF1","lncRNA","PCG","ceRNA or sponge"
"1720","NRAD1","c-Met","lncRNA","PCG","ceRNA or sponge"
"1721","SNHG1","TERT","lncRNA","PCG","ceRNA or sponge"
"1722","LINC00963","RAB14","lncRNA","PCG","ceRNA or sponge"
"1723","RGMB-AS1","NLRP3","lncRNA","PCG","ceRNA or sponge"
"1724","LINC00511","CCND2","lncRNA","PCG","ceRNA or sponge"
"1725","DIO3OS","ALDOA","lncRNA","PCG","ceRNA or sponge"
"1726","LINC00261","SFRP2","lncRNA","PCG","ceRNA or sponge"
"1727","HOTAIR","ST8SIA4","lncRNA","PCG","ceRNA or sponge"
"1728","HOTAIR","MAPK1","lncRNA","PCG","ceRNA or sponge"
"1729","CRNDE","IRS1","lncRNA","PCG","ceRNA or sponge"
"1730","SCHLAP1","MAPK1","lncRNA","PCG","ceRNA or sponge"
"1731","XIST","PTEN","lncRNA","PCG","ceRNA or sponge"
"1732","SNHG16","TIMP3","lncRNA","PCG","ceRNA or sponge"
"1733","SNHG3","TOP2A","lncRNA","PCG","ceRNA or sponge"
"1734","MCM3AP-AS1","SENP1","lncRNA","PCG","ceRNA or sponge"
"1735","OIP5-AS1","XIAP","lncRNA","PCG","ceRNA or sponge"
"1736","CRNDE","CCL18","lncRNA","PCG","ceRNA or sponge"
"1737","GAS6-DT","CDK9","lncRNA","PCG","ceRNA or sponge"
"1738","HMMR-AS1","SIRT6","lncRNA","PCG","ceRNA or sponge"
"1739","LINC00460","FADS1","lncRNA","PCG","ceRNA or sponge"
"1740","GRASLND","LOX","lncRNA","PCG","ceRNA or sponge"
"1741","SOX2-OT","HNRNPA2B1","lncRNA","PCG","ceRNA or sponge"
"1742","ACTA2-AS1","CXCL2","lncRNA","PCG","ceRNA or sponge"
"1743","LINC00174","S100A10","lncRNA","PCG","ceRNA or sponge"
"1744","KDM7A-DT","PRAF2","lncRNA","PCG","ceRNA or sponge"
"1745","SNHG12","IGF1R","lncRNA","PCG","ceRNA or sponge"
"1746","LINC01133","FOXD1","lncRNA","PCG","ceRNA or sponge"
"1747","ACTA2-AS1","GRB2","lncRNA","PCG","ceRNA or sponge"
"1748","FOXD3-AS1","SIRT1","lncRNA","PCG","ceRNA or sponge"
"1749","SOX2-OT","AKT2","lncRNA","PCG","ceRNA or sponge"
"1750","AGAP2-AS1","ANXA11","lncRNA","PCG","ceRNA or sponge"
"1751","H19","HRAS","lncRNA","PCG","ceRNA or sponge"
"1752","LINC01342","HIF3A","lncRNA","PCG","ceRNA or sponge"
"1753","MAP3K20-AS1","YAP1","lncRNA","PCG","ceRNA or sponge"
"1754","DDX11-AS1","DDX11","lncRNA","PCG","ceRNA or sponge"
"1755","DANCR","TGFBR1","lncRNA","PCG","ceRNA or sponge"
"1756","LINC01436","APEX1","lncRNA","PCG","ceRNA or sponge"
"1757","HOTAIR","CXCR4","lncRNA","PCG","ceRNA or sponge"
"1758","FAM201A","EGFR","lncRNA","PCG","ceRNA or sponge"
"1759","LINC00460","KDM2A","lncRNA","PCG","ceRNA or sponge"
"1760","FALEC","AKT1","lncRNA","PCG","ceRNA or sponge"
"1761","CDKN2B-AS1","BRI3","lncRNA","PCG","ceRNA or sponge"
"1762","MIAT","LOXL2","lncRNA","PCG","ceRNA or sponge"
"1763","H19","VASH2","lncRNA","PCG","ceRNA or sponge"
"1764","UCA1","PPP1R13L","lncRNA","PCG","ceRNA or sponge"
"1765","FEZF1-AS1","NT5E","lncRNA","PCG","ceRNA or sponge"
"1766","SNHG1","RICTOR","lncRNA","PCG","ceRNA or sponge"
"1767","SNHG16","NOVA","lncRNA","PCG","ceRNA or sponge"
"1768","LINC-ROR","FGF2","lncRNA","PCG","ceRNA or sponge"
"1769","MALAT1","MAGEA9","lncRNA","PCG","ceRNA or sponge"
"1770","CYTOR","CDK14","lncRNA","PCG","ceRNA or sponge"
"1771","LINC02418","KNL1","lncRNA","PCG","ceRNA or sponge"
"1772","SNHG7","ELAVL1","lncRNA","PCG","ceRNA or sponge"
"1773","MAPKAPK5-AS1","YWHAH","lncRNA","PCG","ceRNA or sponge"
"1774","MIAT","PAPPA","lncRNA","PCG","ceRNA or sponge"
"1775","FAM225B","CCND2","lncRNA","PCG","ceRNA or sponge"
"1776","LINC01278","ACTG2","lncRNA","PCG","ceRNA or sponge"
"1777","XIST","TRIM25","lncRNA","PCG","ceRNA or sponge"
"1778","DRAIC","ITGA6","lncRNA","PCG","ceRNA or sponge"
"1779","KCNQ1OT1","GAB1","lncRNA","PCG","ceRNA or sponge"
"1780","H19","CDK14","lncRNA","PCG","ceRNA or sponge"
"1781","H19","NF1","lncRNA","PCG","ceRNA or sponge"
"1782","NEAT1","GDNF","lncRNA","PCG","ceRNA or sponge"
"1783","UCA1","MYO6","lncRNA","PCG","ceRNA or sponge"
"1784","PVT1","RAB34","lncRNA","PCG","ceRNA or sponge"
"1785","SNHG7","CBX7","lncRNA","PCG","ceRNA or sponge"
"1786","SNHG6","EZH2","lncRNA","PCG","ceRNA or sponge"
"1787","HOXA11-AS","ACTN4","lncRNA","PCG","ceRNA or sponge"
"1788","SNHG1","PDCD4","lncRNA","PCG","ceRNA or sponge"
"1789","KCNQ1OT1","CCND2","lncRNA","PCG","ceRNA or sponge"
"1790","LINC01436","FBOX11","lncRNA","PCG","ceRNA or sponge"
"1791","NORAD","AKT1","lncRNA","PCG","ceRNA or sponge"
"1792","LINC00963","FN1","lncRNA","PCG","ceRNA or sponge"
"1793","ILF3-DT","PTBP3","lncRNA","PCG","ceRNA or sponge"
"1794","TTN-AS1","SFN","lncRNA","PCG","ceRNA or sponge"
"1795","SNHG1","MAPK6","lncRNA","PCG","ceRNA or sponge"
"1796","UCA1","VEGFC","lncRNA","PCG","ceRNA or sponge"
"1797","RAMP2-AS1","KDR","lncRNA","PCG","ceRNA or sponge"
"1798","SNHG16","IRAK1","lncRNA","PCG","ceRNA or sponge"
"1799","MAGI2-AS3","SMG1","lncRNA","PCG","ceRNA or sponge"
"1800","NR2F1-AS1","MAP3K2","lncRNA","PCG","ceRNA or sponge"
"1801","NR2F1-AS1","CCND1","lncRNA","PCG","ceRNA or sponge"
"1802","SNHG20","MDM2","lncRNA","PCG","ceRNA or sponge"
"1803","RHPN1-AS1","IGF2BP2","lncRNA","PCG","ceRNA or sponge"
"1804","HOXA11-AS","RAB3D","lncRNA","PCG","ceRNA or sponge"
"1805","ELFN1-AS1","TRIM44","lncRNA","PCG","ceRNA or sponge"
"1806","ASMTL-AS1","LAMC1","lncRNA","PCG","ceRNA or sponge"
"1807","LINC00668","USP47","lncRNA","PCG","ceRNA or sponge"
"1808","KCNQ1OT1","CBX3","lncRNA","PCG","ceRNA or sponge"
"1809","XIST","GDF2","lncRNA","PCG","ceRNA or sponge"
"1810","CDKN2B-AS1","FRS2","lncRNA","PCG","ceRNA or sponge"
"1811","ADPGK-AS1","KDM1B","lncRNA","PCG","ceRNA or sponge"
"1812","LINC01559","YY1AP1","lncRNA","PCG","ceRNA or sponge"
"1813","PVT1","ARL2","lncRNA","PCG","ceRNA or sponge"
"1814","HAGLR","MMP9","lncRNA","PCG","ceRNA or sponge"
"1815","DLX6-AS1","GADD45A","lncRNA","PCG","ceRNA or sponge"
"1816","FLVCR1-DT","MET","lncRNA","PCG","ceRNA or sponge"
"1817","HAGLR","FZD4","lncRNA","PCG","ceRNA or sponge"
"1818","MIR100HG","CDK6","lncRNA","PCG","ceRNA or sponge"
"1819","MIR100HG","SNCAIP","lncRNA","PCG","ceRNA or sponge"
"1820","MIR100HG","KDM6A","lncRNA","PCG","ceRNA or sponge"
"1821","MALAT1","CXCR4","lncRNA","PCG","ceRNA or sponge"
"1822","WWC2-AS1","FGF2","lncRNA","PCG","ceRNA or sponge"
"1823","LINC00339","IGF1R","lncRNA","PCG","ceRNA or sponge"
"1824","LINC00922","CXCR4","lncRNA","PCG","ceRNA or sponge"
"1825","CRNDE","MAPK1","lncRNA","PCG","ceRNA or sponge"
"1826","H19","PAPPA","lncRNA","PCG","ceRNA or sponge"
"1827","PCGEM1","LGMN","lncRNA","PCG","ceRNA or sponge"
"1828","IGFL2-AS1","BPY2C","lncRNA","PCG","ceRNA or sponge"
"1829","CYTOR","NOTCH1","lncRNA","PCG","ceRNA or sponge"
"1830","H19","BCL2","lncRNA","PCG","ceRNA or sponge"
"1831","LINC00520","EIF5A2","lncRNA","PCG","ceRNA or sponge"
"1832","LINC00662","EGLN2","lncRNA","PCG","ceRNA or sponge"
"1833","HOTAIR","SKA2","lncRNA","PCG","ceRNA or sponge"
"1834","PSMA3-AS1","RAB22A","lncRNA","PCG","ceRNA or sponge"
"1835","XIST","BCL2L2","lncRNA","PCG","ceRNA or sponge"
"1836","DUXAP8","NUPR1","lncRNA","PCG","ceRNA or sponge"
"1837","LINC01224","MYO6","lncRNA","PCG","ceRNA or sponge"
"1838","OIP5-AS1","VOPP1","lncRNA","PCG","ceRNA or sponge"
"1839","LINC00662","ITPR1","lncRNA","PCG","ceRNA or sponge"
"1840","SOX21-AS1","PIM2","lncRNA","PCG","ceRNA or sponge"
"1841","LIFR-AS1","VEGFA","lncRNA","PCG","ceRNA or sponge"
"1842","KCNQ1OT1","HSP90AA1","lncRNA","PCG","ceRNA or sponge"
"1843","MALAT1","CCND2","lncRNA","PCG","ceRNA or sponge"
"1844","LINC00963","NACC1","lncRNA","PCG","ceRNA or sponge"
"1845","MAGI2-AS3","CFAP45","lncRNA","PCG","ceRNA or sponge"
"1846","NORAD","PAK4","lncRNA","PCG","ceRNA or sponge"
"1847","BCYRN1","TAZ","lncRNA","PCG","ceRNA or sponge"
"1848","LINC02882","TNKS2","lncRNA","PCG","ceRNA or sponge"
"1849","CDKN2B-AS1","TP53BP2","lncRNA","PCG","ceRNA or sponge"
"1850","LINC00899","DICER1","lncRNA","PCG","ceRNA or sponge"
"1851","RBMS3-AS3","VASH1","lncRNA","PCG","ceRNA or sponge"
"1852","HOTAIR","DACH1","lncRNA","PCG","ceRNA or sponge"
"1853","SBF2-AS1","HDAC3","lncRNA","PCG","ceRNA or sponge"
"1854","MIR4435-2HG","FLOT2","lncRNA","PCG","ceRNA or sponge"
"1855","AFAP1-AS1","FGF7","lncRNA","PCG","ceRNA or sponge"
"1856","SNHG16","BCL9","lncRNA","PCG","ceRNA or sponge"
"1857","ZFAS1","SKA1","lncRNA","PCG","ceRNA or sponge"
"1858","PCAT6","TGFBR1","lncRNA","PCG","ceRNA or sponge"
"1859","PCAT6","TGFBR2","lncRNA","PCG","ceRNA or sponge"
"1860","HULC","MET","lncRNA","PCG","ceRNA or sponge"
"1861","LINC01419","RCCD1","lncRNA","PCG","ceRNA or sponge"
"1862","SNHG7","RPL4","lncRNA","PCG","ceRNA or sponge"
"1863","LINC-ROR","VEGFA","lncRNA","PCG","ceRNA or sponge"
"1864","EIF3J-DT","CTNND2","lncRNA","PCG","ceRNA or sponge"
"1865","LINC00210","IGF1R","lncRNA","PCG","ceRNA or sponge"
